Название	Район	Адрес	Телефон	Сайт	Email	Instagram	Facebook	Рейтинг	Отзывы	Google Maps	Статус
Westside Veterinary Center	Manhattan	220 W 83rd St, New York, NY 10024, USA	(212) 580-1800	https://www.westsidevetcenter.com/			facebook.com/WestsideVeterinaryCenter	4.7	759	https://maps.google.com/?cid=12637345457530687099	Новый
Worth Street Veterinary Center	Manhattan	77 Worth St, New York, NY 10013, USA	(212) 257-6900	https://worthstreetvet.com/	help@worthstreetvet.com	@worthstreetvet	facebook.com/worthstreetvet	4.8	420	https://maps.google.com/?cid=3053250177717924569	Новый
East Village Animal Clinic	Manhattan	318 E 11th St, New York, NY 10003, USA	(212) 979-9870	https://www.eastvillageanimalclinic.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing-vvet	info@eastvillageac.com	@eastvillageanimalclinic	facebook.com/eastvillageanimalclinic	4.6	446	https://maps.google.com/?cid=7086510852094407272	Новый
Rivergate Veterinary Clinic	Manhattan	648 1st Ave, New York, NY 10016, USA	(212) 213-9885	https://rivergateveterinaryclinic.com/			facebook.com/rivergatevet	4.7	423	https://maps.google.com/?cid=12457044725963322585	Новый
York Veterinary Center	Harlem	417 E 72nd St, New York, NY 10021, USA	(917) 675-6270	http://www.yorkveterinarycenter.com/	info@yorkveterinarycenter.com	@yorkvetcenter	facebook.com/2008	4.7	147	https://maps.google.com/?cid=7019422516436960787	Новый
West Village Veterinary Hospital	Manhattan	75 8th Ave, New York, NY 10014, USA	(212) 633-7400	https://www.westvillagevets.com/?utm_source=gmb&utm_medium=organic&y_source=1_MTE2Njg3NjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	katwhite@comcast.net	@WestVillageVets	facebook.com/WestVillageVets	4.8	375	https://maps.google.com/?cid=18068061286564950564	Новый
Abingdon Square Veterinary Clinic	Manhattan	374 6th Ave, New York, NY 10011, USA	(212) 242-9169	https://abingdonsquarevet.com/	hello@asvcvet.com	@abingdonsquarevet	facebook.com/AbingdonSquareVeterinaryClinic	4.9	341	https://maps.google.com/?cid=7885801729172159278	Новый
The Schwarzman Animal Medical Center	Manhattan	510 E 62nd St, New York, NY 10065, USA	(212) 838-8100	https://www.amcny.org/			facebook.com/theanimalmedicalcenter	3.7	1582	https://maps.google.com/?cid=10306466600930904486	Новый
Pure Paws Veterinary Care of Hudson Square		350 Hudson St, New York, NY 10014, USA	(212) 203-4187	https://www.purepawsvet.com/hudson-square-ny/		@purepawsvet	facebook.com/purepawsveterinarycare	4.9	138	https://maps.google.com/?cid=12924904319457498586	Новый
Bond Vet - Upper East Side at 62nd Street	Manhattan	1049 3rd Ave, Manhattan, NY 10065, USA	(212) 945-8115	https://bondvet.com/c/upper-east-side-animal-hospital?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=upper-east-side-at-62nd-street		@bondvetclinic	facebook.com/bondvetclinic	4.6	802	https://maps.google.com/?cid=10303947931528041326	Новый
InstaVet Urgent Care & Wellness Animal Hospital - LIC Queens Pet Surgery Medical Center	Queens	44-16 23rd St, Long Island City, NY 11101, USA	(917) 525-2579	https://www.instavet.com/	support@instavet.com	@instavetcare	facebook.com/InstaVet	4.2	496	https://maps.google.com/?cid=17914706092985315917	Новый
Urban Vets Animal Hospital		163 Loisaida Ave, New York, NY 10009, USA	(212) 674-6200	http://urbanvets.com/			facebook.com/urbanvetsanimalhospital	4.4	212	https://maps.google.com/?cid=13850904000393822152	Новый
Inwood Animal Clinic	Manhattan	4846 Broadway, New York, NY 10034, USA	(212) 304-8387	https://www.inwoodanimalclinic.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb	info@inwoodanimalclinic.com	@inwoodanimalclinic	facebook.com/InwoodAnimalClinicNyc	4.4	1194	https://maps.google.com/?cid=7432879872858461787	Новый
VEG ER for Pets	Manhattan	1215 2nd Ave, New York, NY 10065, USA	(212) 223-3500	https://www.veg.com/locations/new-york/upper-east-side?utm_source=organic_google&utm_medium=gbp_link&utm_campaign=locations_page&utm_content=upper_east_side		@veterinary_emergency_group	facebook.com/veterinaryemergencygroup	4.6	814	https://maps.google.com/?cid=10203025009037843286	Новый
Williamsburg Veterinary Clinic	Brooklyn	117 Metropolitan Ave, Brooklyn, NY 11249, USA	(718) 302-1485	http://www.williamsburgvets.com/	info@williamsburgvets.com	@williamsburgvets	facebook.com/TimberstoneVet	4.6	559	https://maps.google.com/?cid=4328877949712579995	Новый
Murray Hill Pet Hospital	Manhattan	47 E 30th St, New York, NY 10016, USA	(646) 692-0483	https://veterinarianmurrayhillny.com/?utm_source=gmb&utm_medium=Yext&cp=6466920483&y_source=1_MTYxMTMwMTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D				4.7	281	https://maps.google.com/?cid=11825402884895444163	Новый
Greenwich Village Animal Hospital		504 Hudson St, New York, NY 10014, USA	(212) 691-1100	http://www.gvah.com/	gvah504@gmail.com	@greenwichvillageanimalhospital	facebook.com/GreenwichVillageAnimalHospital	4.5	210	https://maps.google.com/?cid=14147294670706702228	Новый
The Neighborhood Vet	Brooklyn	169 Central Ave, Brooklyn, NY 11221, USA	(718) 456-2168	https://theneighborhoodvet.org/		@theneighborhoodvet	facebook.com/theneighborhoodvet	4.6	298	https://maps.google.com/?cid=16975802646970468853	Новый
VEG ER for Pets	Manhattan	735 6th Ave Unit A, New York, NY 10010, USA	(646) 582-8882	https://www.veg.com/locations/new-york/chelsea?utm_source=organic_google&utm_medium=gbp_link&utm_campaign=locations_page&utm_content=chelsea		@veterinary_emergency_group	facebook.com/veterinaryemergencygroup	4.8	433	https://maps.google.com/?cid=4579928763032712426	Новый
Downtown Veterinary Clinic		244 9th Ave, New York, NY 10011, USA	(212) 463-8705	http://www.downtownveterinaryclinic.com/	downtownvetclinic@gmail.com		facebook.com/2008	4.4	77	https://maps.google.com/?cid=8593744992640523864	Новый
Small Door Veterinary - West Village		15 7th Ave, New York, NY 10011, USA	(212) 300-9893	https://www.smalldoorvet.com/	hi@smalldoorvet.com	@smalldoorvet	facebook.com/smalldoorvet	4.7	308	https://maps.google.com/?cid=5611958914333724986	Новый
Battery Park Veterinary Hospital	Manhattan	2 S End Ave, New York, NY 10280, USA	(212) 786-4444	https://www.batteryparkvets.com/?utm_source=gmb&utm_medium=organic&y_source=1_MTE2Njg3NjktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D		@batteryparkvets	facebook.com/BatteryParkVets	4.7	235	https://maps.google.com/?cid=1176545778027709162	Новый
Small Door Veterinary - Upper East Side	Upper East Side	1231 3rd Ave, New York, NY 10021, USA	(212) 300-9892	https://www.smalldoorvet.com/locations/upper-east-side	hi@smalldoorvet.com	@smalldoorvet	facebook.com/smalldoorvet	4.5	243	https://maps.google.com/?cid=2541903554547429365	Новый
West Chelsea Veterinary	Manhattan	248 W 26th St, New York, NY 10001, USA	(212) 645-2767	https://westchelseavet.com/	info@westchelseavet.com	@westchelseavet	facebook.com/westchelseavet	4.8	479	https://maps.google.com/?cid=5338877134727626853	Новый
Tribeca Soho Animal Hospital	Manhattan	180 6th Ave, New York, NY 10013, USA	(212) 925-6100	https://www.tribecavets.com/?utm_source=gmb&utm_medium=organic&y_source=1_MTE2Njg3NjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D		@TribecaVets	facebook.com/TribecaVets	4.6	198	https://maps.google.com/?cid=13804344256245585186	Новый
University Animal Hospital	Manhattan	354 E 66th St, New York, NY 10065, USA	(212) 288-8884	http://universityanimalhospital.com/	info@uahnyc.com	@universityanimalhospnyc	facebook.com/UniversityAnimalHospitalNY	4.6	282	https://maps.google.com/?cid=3854244696021118736	Новый
BluePearl Pet Hospital	Manhattan	410 W 55th St, New York, NY 10019, USA	(212) 767-0099	https://bluepearlvet.com/hospital/midtown-nyc/?utm_source=maps&utm_medium=google&utm_campaign=gbp	info.midtownnyc@bluepearlvet.com	@bluepearlvet	facebook.com/BluePearlPetHospital	4	779	https://maps.google.com/?cid=15887084997613821565	Новый
Bond Vet - Cobble Hill	Brooklyn	217 Court St, Brooklyn, NY 11201, USA	(718) 673-6763	https://bondvet.com/c/cobble-hill-animal-hospital?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=cobble-hill		@bondvetclinic	facebook.com/bondvetclinic	4.6	1013	https://maps.google.com/?cid=15736998346728040123	Новый
Glendale Veterinary Clinic	Queens	67-40 Myrtle Avenue, Glendale, NY 11385, USA	(347) 599-1335	http://www.glendalevetclinic.com/			facebook.com/GlendaleVeterinaryClinic	4.7	437	https://maps.google.com/?cid=4590399026961624632	Новый
Symphony Veterinary Center	Manhattan	170 W 96th St, New York, NY 10025, USA	(212) 866-8000	https://www.symphonyvet.com/?utm_source=gmb&utm_medium=organic&y_source=1_MTE2Njg4ODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D		@symphonyvetcenter	facebook.com/SymphonyVetCenter	4.7	530	https://maps.google.com/?cid=11131398226086841302	Новый
Veterinaire Pet Care		201 Marin Blvd, Jersey City, NJ 07302, USA	(201) 839-6939	https://veterinairepetcare.com/	VeterinaireJC@gmail.com	@veterinairepetcare		4.8	900	https://maps.google.com/?cid=5787683499898438544	Новый
Hudson Animal Hospital	Manhattan	238 W 61st St, New York, NY 10023, USA	(212) 706-4088	https://www.hudsonanimalhospitalnyc.com/	info@hudsonanimalhospitalnyc.com	@hudsonanimalhospital	facebook.com/hudsonanimalhospitalnyc	4.6	146	https://maps.google.com/?cid=12404100073312451567	Новый
Long Island City Veterinary Center	Queens	48-18 Vernon Blvd, Long Island City, NY 11101, USA	(718) 383-8387	http://nycvetgroup.com/	licvets@gmail.com	@licvets	facebook.com/LICVets	4.3	315	https://maps.google.com/?cid=10495761049310340976	Новый
All Ears Veterinary	Brooklyn	345 Schermerhorn St, Brooklyn, NY 11217, USA	(646) 434-2610	https://allearsvet.com/		@allearsvet	facebook.com/allearsvet	4.7	386	https://maps.google.com/?cid=4909316336615681226	Новый
Small Door Veterinary - Gramercy		380 2nd Ave, New York, NY 10010, USA	(212) 300-9891	https://www.smalldoorvet.com/locations/new-york-city/gramercy	hi@smalldoorvet.com	@smalldoorvet	facebook.com/smalldoorvet	4.7	207	https://maps.google.com/?cid=2190543157667493099	Новый
Heart of Harlem Veterinary Clinic	Harlem	Door #1, 2143 Adam Clayton Powell Jr Blvd 2nd Floor, New York, NY 10027, USA	(212) 280-3700	https://heartofharlemveterinaryclinic.com/	management@hofhvc.com	@heartofharlemvetclinic	facebook.com/HeartofHarlemVeterinaryClinic	4.3	595	https://maps.google.com/?cid=16023006771673452124	Новый
Riverside Veterinary Care on Columbus	Upper West Side	428 Columbus Ave, New York, NY 10024, USA	(212) 787-1993	https://www.riversideveterinarycare.com/?utm_source=gmb&utm_medium=organic&y_source=1_MTE2Njg4MjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	absweety138@gmail.com	@riversideveterinarycare	facebook.com/riversideveterinarycareoncolumbus	4.8	362	https://maps.google.com/?cid=8894131576479370624	Новый
Gramercy Park Animal Hospital		37 E 19th St, New York, NY 10003, USA	(212) 477-4080					4.6	142	https://maps.google.com/?cid=17926732093457849821	Новый
Pure Paws Veterinary Care of Hell's Kitchen	Manhattan	506 W 42nd St, New York, NY 10036, USA	(917) 534-7838	https://www.purepawsvet.com/hells-kitchen-ny/		@purepawsvet	facebook.com/purepawsveterinarycare	4.5	444	https://maps.google.com/?cid=1808708270983993706	Новый
ASPCA Animal Hospital	Manhattan	424 E 92nd St, New York, NY 10128, USA	(844) 692-7722	http://www.aspca.org/nyc/aspca-animal-hospital		@aspca	facebook.com/sharer.php	4.4	1102	https://maps.google.com/?cid=5456088719079476410	Новый
URvet Care Upper East Side (Midtown Medical Center is Open 24/7)	Upper East Side	1432 2nd Ave, New York, NY 10021, USA	(646) 535-9220	https://urvetcare.com/		@urvetcare	facebook.com/urvetcare	4.5	167	https://maps.google.com/?cid=10426579078660064972	Новый
Harlem Animal Hospital	Manhattan	193 Malcolm X Blvd, New York, NY 10026, USA	(212) 933-0955	http://harlemanimalhospital.com/	harlemanimalhospital@gmail.com		facebook.com/Harlem	4.2	315	https://maps.google.com/?cid=8531302324372743753	Новый
Queens Low Cost Veterinary Center	Queens	28-27 Steinway St, Queens, NY 11103, USA	(718) 685-2332	http://queensvet.online/	qvc2827@gmail.com			4	387	https://maps.google.com/?cid=13578831548075724876	Новый
